node,betweenness,pagerank,in_degree,out_degree
IND242221AAA,0.0,0.00037001854492672273,1,1
IND243001AAA,0.0,0.00011885703607827519,0,2
IND243503AAB,0.0004031846111184086,0.0015754707519423422,3,1
IND244901AAB,0.01403076365476208,0.0038324278614700396,10,7
IND243002AAA,0.0,0.0005764337454849595,1,1
IND243201AAA,0.0004043400421306635,0.0008995663483795538,2,1
IND262001AAA,0.0016127384444736344,0.0012167873361970004,2,2
IND243301AAB,0.0004053738488258389,0.0003027535578743959,1,2
IND244901AAC,4.2568510977810854e-07,0.00024496027648266214,1,1
IND263153AAB,0.007244370010362392,0.001771683113127366,6,7
IND244221AAA,0.007549221361122058,0.0004504401036371362,1,1
IND244301AAA,0.0012150269276238015,0.00043212592258010606,1,1
IND244412AAA,0.0012128376899163712,0.00048613851456693583,1,2
IND244501AAA,0.0,0.00020483404721119354,1,1
IND244601AAB,0.0004031846111184086,0.00041481068919656456,2,1
IND244713AAA,1.824364756191894e-07,0.0018543417322068212,3,2
IND244715AAA,0.0,0.0012431823271025749,2,2
IND263401AAA,0.0008056394763343404,0.0015860511163952116,3,2
IND244921AAB,0.0008077679018832309,0.0007865417963609943,2,2
IND246725AAB,0.0020232205146168106,0.0004571874335002526,1,1
IND246001AAA,0.0,0.00011885703607827519,0,1
IND249201AAA,0.0016196710305471636,0.0007513862038830957,2,2
IND246149AAA,0.0,0.0007482341835772778,1,1
IND246174AAA,0.0008125720624078696,0.0010637708774266033,2,1
IND246444AAB,0.000406468467679554,0.0010196691857751576,1,1
IND246424AAA,3.648729512383788e-07,0.000985792957124441,1,1
IND246701AAA,0.0020210312769093804,0.0005074380332367081,1,1
IND246763AAA,0.00201884203920195,0.0005501642891976605,1,2
IND246761AAA,0.0008103828247004393,0.00040191084871399536,1,3
IND247554AAA,0.0004031846111184086,0.00038337363401823733,1,2
IND247776AAA,0.000808193586993009,0.0005100309382623387,1,1
IND251309AAB,0.0008060043492855788,0.000552617737907388,1,1
IND248122AAB,0.00040391435702088536,0.00021989453119478262,1,1
IND248197AAA,0.0,0.00011885703607827519,0,1
IND250221AAA,0.0,0.00011885703607827519,0,1
IND251201AAA,0.00040391435702088536,0.00021989453119478262,1,2
IND261001AAA,1.0946188537151365e-06,0.00021989453119478262,1,1
IND262701AAA,1.4594918049535152e-06,0.0003057905596671737,1,1
IND261201AAB,0.0,0.00011885703607827519,0,1
IND262122AAB,0.0,0.0005985902043266398,1,1
IND262405AAA,0.0,0.00011885703607827519,0,1
IND262501AAA,0.00040263730169155104,0.0004624287035309674,2,1
IND262802AAA,1.0946188537151365e-06,0.0003788113223985043,1,1
IND262723AAB,0.0,0.0004408946550449298,1,0
IND263002AAA,0.0,0.0002482007826280336,1,1
IND263645AAA,0.0012128376899163712,0.0005560962244216981,3,2
IND263139AAA,0.0,0.0002980293740640881,1,1
IND263601AAA,0.00040263730169155104,0.0003514308347415707,1,3
IND271001AAA,3.648729512383788e-07,0.0008925995995983526,1,2
IND271201AAA,0.0,0.0005595171138378943,1,1
IND271210AAA,3.648729512383788e-07,0.0009111711042156333,2,1
IND272001AAA,0.0004093874512894611,0.00021989453119478262,1,2
IND272175AAA,0.0,0.00019897140333066026,1,0
IND272155AAA,0.0,0.00011885703607827519,0,1
IND272207AAB,0.0,0.00011885703607827519,0,1
IND272153AAC,0.0,0.00021989453119478262,1,0
IND273155AAA,5.1082213173373036e-06,0.0004803307529450192,1,2
IND273304AAA,0.00040829283243574597,0.000635281658987326,2,1
IND274001AAA,0.00042471211524147304,0.0006217951814105432,2,2
IND274301AAB,0.0012234190055022845,0.0006858004646946568,3,1
IND277303AAC,1.4230045098296773e-05,0.0005259257331407108,1,1
IND273303AAA,1.824364756191894e-07,0.000280761977274271,1,1
IND274509AAB,1.3865172147058395e-05,0.00031722780709704735,1,3
IND274304AAA,2.3716741830494622e-06,0.0005875399946722966,2,1
IND274304AAB,0.0004086577053869843,0.0007134340945433679,2,2
IND274402AAA,2.736547134287841e-06,0.00024548088851837906,1,2
IND275303AAA,0.0008257074886524513,0.0007185029646057753,1,1
IND276140AAA,0.00042106338572908914,0.0007301041945173568,1,1
IND276305AAA,0.0008136666812615848,0.00023633567756356215,1,1
IND276129AAA,1.6419282805727048e-05,0.0007390951292875427,1,1
IND277201AAA,0.0008205992673351141,0.000600451738571713,1,1
IND277211AAA,0.00041741465621670544,0.0005662712582276643,1,1
IND281121AAB,0.0,0.00011885703607827519,0,1
IND281401AAA,0.0,0.00011885703607827519,0,2
IND321022AAA,0.0,0.00015734751040837326,1,1
IND282001AAF,0.0,0.00011885703607827519,0,1
IND283122AAB,0.0004042792299721237,0.00021989453119478262,1,2
IND281004AAA,0.0,0.0002444370581476213,1,0
IND282005AAA,0.0,0.0002798175498285,1,0
IND284001AAA,0.0,0.00011885703607827519,0,1
IND284403AAA,0.0004039143570208852,0.00021989453119478262,1,2
IND472001AAA,0.0011852289699393335,0.0005074302881426443,2,2
IND285205AAB,0.0016127384444736346,0.0006963113382319601,1,1
IND321001AAB,0.0006071485908606623,0.00038870707837121,1,2
IND321606AAA,0.00020286936088853862,0.00047502656079554274,2,2
IND301019AAA,0.0,0.00011885703607827519,0,2
IND302004AAA,6.20284017105244e-06,0.00032611841939567295,1,2
IND302014AAB,0.00010325904520046121,0.003188232641679631,9,12
IND302033AAB,0.0,0.00023090022911637269,1,0
IND302006AAA,0.0,0.000352811173307762,1,1
IND302006AAC,0.0,0.00039520554716813885,1,1
IND303702AAB,0.003828794313819928,0.0005034573544449108,1,2
IND305001AAC,0.010041303618080186,0.0025271547345318912,5,4
IND306401AAB,0.011879989637608182,0.0013063054289795487,3,4
IND313001AAB,0.008822056326653718,0.0017437983080318977,4,5
IND332404AAA,0.003828794313819928,0.000600046025474823,2,1
IND302020AAA,0.0,0.00038138812161364567,1,1
IND302023AAA,0.0,0.00041247732911125535,1,0
IND302026AAA,0.0,0.00041247732911125535,1,1
IND303008AAB,2.736547134287841e-06,0.00031624882971389203,1,1
IND303301AAB,0.0,0.00026708032839011116,1,1
IND303303AAA,2.6270852489163273e-05,0.0005096870306955276,2,1
IND303603AAB,1.5507100427631098e-05,0.0009000605666764948,2,2
IND303901AAA,0.0,0.0003166974474267003,1,1
IND304001AAA,1.20408073908665e-05,0.0006648031422353297,2,1
IND303002AAA,0.0,0.0002048693935578297,1,1
IND303338AAB,6.567713122290818e-06,0.0007344161704339081,2,1
IND303106AAA,0.0004042792299721237,0.00021989453119478262,1,2
IND303108AAB,0.0,0.00011885703607827519,0,1
IND322230AAA,2.7000598391640033e-05,0.0005522844361475374,1,1
IND303503AAA,0.0,0.0003838981549595076,1,1
IND332001AAB,0.009670592699621993,0.0014219271021948714,3,6
IND322001AAC,1.2770553293343258e-05,0.0006843063610686704,1,1
IND305802AAA,0.001619306157595925,0.0007272044050887625,1,1
IND305901AAA,0.0012106484522089408,0.0006438969831467785,1,2
IND342602AAC,0.0008103828247004393,0.0008623143588613419,2,2
IND305404AAA,0.0028186435483164764,0.0012002195988238477,1,2
IND305601AAC,0.0,0.0005388774821339661,1,1
IND305624AAA,0.0028208327860239067,0.001272972274469364,3,1
IND341512AAA,0.0016171169198884948,0.0007366843253184958,1,1
IND306116AAA,0.00040756308653326916,0.0005736042176989716,1,1
IND306001AAA,0.0,0.0006063027361464735,1,0
IND306304AAB,0.0,0.0005036959982212153,1,1
IND311302AAA,0.0008060043492855788,0.000895067572963596,2,1
